Gene1,Gene2
KLF6,CRABP2
ID2,SCHIP1
FOS,DPCD
ZNF143,APEH
PTTG1,NIP7
ZNF143,MRPS27
NFYB,MCM3
NFYB,DPYSL2
KLF6,MT2A
OTX2,RUVBL1
MCM3,ZNF143
PTTG1,ZWILCH
MCM4,MCM3
MCM3,SERPINB1
ZNF143,ATG5
KLF6,SMYD3
KLF6,DPYSL2
MCM3,BUB1B
OTX2,TNFRSF12A
ZNF143,KNTC1
NFYB,DPCD
OTX2,PCCA
RUVBL1,PTTG1
ID2,ACADVL
KNTC1,ICA1
DDIT3,TF
ID2,ZWILCH
RUVBL1,CAMK2D
DDIT3,ACTC1
MCM3,CCNH
KNTC1,SCHIP1
CRABP2,NQO1
ZNF143,MCM4
KNTC1,KNTC1
NFYB,CENPF
MCM4,ID2
MCM7,UBE2T
KNTC1,ACTC1
FOS,CACYBP
FOS,RUVBL1
DDIT3,PLCD1
RUVBL1,CCNH
ZNF143,CDK1
OTX2,ZNF143
CRABP2,KLF6
OTX2,CA2
KNTC1,MCM3
MCM4,LGALS3
ID2,WARS
KLF6,OTX2
KLF6,PRMT5
ID2,ANAPC7
DDIT3,TNFRSF12A
PTTG1,ICA1
MCM7,KLF6
DDIT3,SCHIP1
MCM7,PTTG1
FOS,KLF6
ZNF143,DPYSL2
MCM7,UTRN
NFYB,CDK1
PITX2,ACTL6A
ID2,RBP4
DDIT3,ICA1
RUVBL1,SMYD3
OTX2,KIF20B
ID2,UBE2T
PITX2,ANAPC7
DDIT3,CENPF
FOS,MCM4
KNTC1,NQO1
OTX2,OCIAD2
PITX2,CCNB1
NFYB,TM2D2
KNTC1,CACYBP
KNTC1,PLCD1
MCM3,UBE2T
FOS,BUB1B
MCM3,RBP4
PITX2,WARS
ZNF143,ANXA3
KLF6,CDK1
PITX2,TPD52L1
RUVBL1,NQO1
CRABP2,ATG5
OTX2,CDK1
RUVBL1,BUB1B
OTX2,OTX2
OTX2,PRKCE
DDIT3,DPYSL2
KNTC1,PTTG1
KNTC1,WARS
CRABP2,KIF20B
CRABP2,SERPINB1
DDIT3,ASNS
MCM3,SMYD3
KLF6,CA2
KLF6,CCS
MCM3,TM2D2
PTTG1,CYP3A5
CRABP2,PITX2
KLF6,KIF20B
MCM3,KIF20B
RUVBL1,NFYB
PITX2,CCS
PTTG1,TNFRSF12A
CRABP2,DPYSL2
MCM7,ATG5
ZNF143,CA2
FOS,SCHIP1
FOS,MCM3
CRABP2,MCM7
PTTG1,MCM4
MCM3,DPCD
ID2,MCM7
MCM7,ACTL6A
MCM4,DDIT3
RUVBL1,WARS
NFYB,CYP3A5
MCM4,GSN
RUVBL1,CACYBP
MCM4,ANXA3
KLF6,GSN
PTTG1,DPCD
ZNF143,NIP7
FOS,SERPINB1
RUVBL1,KIF20B
NFYB,CAMK2D
MCM4,CYP3A5
KNTC1,CYP3A5
PITX2,DDIT3
